"id","key","value"
283,shop,kiosk
284,shop,mall
285,shop,supermarket
286,shop,wholesale
287,shop,baby_goods
288,shop,bag
289,shop,boutique
290,shop,clothes
291,shop,fabric
292,shop,fashion_accessories
293,shop,jewelry
294,shop,leather
295,shop,sewing
296,shop,shoes
297,shop,shoe_repair
298,shop,tailor
299,shop,watches
300,shop,wool
301,shop,charity
302,shop,second_hand
303,shop,variety_store
304,shop,beauty
305,shop,chemist
306,shop,cosmetics
307,shop,erotics
308,sport,wrestling
309,sport,yoga
310,sport,zurkhaneh_sport
311,tourism,alpine_hut
312,tourism,apartment
313,tourism,aquarium
314,tourism,artwork
315,tourism,attraction
316,tourism,camp_pitch
317,tourism,camp_site
318,tourism,caravan_site
320,tourism,gallery
321,tourism,guest_house
322,tourism,hostel
323,tourism,hotel
324,tourism,information
325,tourism,motel
326,tourism,museum
327,tourism,picnic_site
328,tourism,theme_park
329,tourism,viewpoint
330,tourism,wilderness_hut
331,tourism,zoo
332,healthcare:speciality,allergology
333,healthcare:speciality,anaesthetics
334,healthcare:speciality,cardiology
335,healthcare:speciality,cardiothoracic_surgery
336,healthcare:speciality,child_psychiatry
337,healthcare:speciality,community
338,healthcare:speciality,dermatology
339,healthcare:speciality,diagnostic_radiology
340,healthcare:speciality,dermatovenereology
341,healthcare:speciality,endocrinology
342,healthcare:speciality,emergency
343,healthcare:speciality,gastroenterology
344,healthcare:speciality,general
345,healthcare:speciality,geriatrics
346,healthcare:speciality,gynaecology
347,healthcare:speciality,haematology
348,healthcare:speciality,hepatology
349,healthcare:speciality,infectious_diseases
350,healthcare:speciality,intensive
351,healthcare:speciality,internal
352,healthcare:speciality,dental_oral_maxillo_facial_surgery
353,healthcare:speciality,neonatology
354,healthcare:speciality,nephrology
355,healthcare:speciality,neurology
356,healthcare:speciality,neuropsychiatry
357,healthcare:speciality,neurosurgery
358,healthcare:speciality,nuclear
359,healthcare:speciality,occupational
360,healthcare:speciality,oncology
361,healthcare:speciality,ophthalmology
362,healthcare:speciality,orthodontics
363,healthcare:speciality,orthopaedics
364,healthcare:speciality,otolaryngology
365,healthcare:speciality,paediatric_surgery
